Key,Company,Ticker,Year,Quarter,M-Score
1115,ADAC LABORATORIES,ADAC,1997,1997Q3,-2.39517647620851
1115,ADAC LABORATORIES,ADAC,1998,1998Q3,-2.285316309741008
1115,ADAC LABORATORIES,ADAC,1999,1999Q3,-2.9735052846392516
1151,AEQUITRON MEDICAL INC,AQTN,1988,1988Q3,-2.0909513163352016
1151,AEQUITRON MEDICAL INC,AQTN,1988,1988Q4,-2.780321737050341
1151,AEQUITRON MEDICAL INC,AQTN,1989,1989Q1,-2.640232528336774
1151,AEQUITRON MEDICAL INC,AQTN,1989,1989Q2,-3.283125069088065
1151,AEQUITRON MEDICAL INC,AQTN,1989,1989Q3,-2.6192873907385876
1151,AEQUITRON MEDICAL INC,AQTN,1989,1989Q4,-2.723151637059446
1151,AEQUITRON MEDICAL INC,AQTN,1990,1990Q1,-2.989072716052751
1151,AEQUITRON MEDICAL INC,AQTN,1990,1990Q2,-3.3246424527748912
1151,AEQUITRON MEDICAL INC,AQTN,1990,1990Q3,-2.3078994777903934
1151,AEQUITRON MEDICAL INC,AQTN,1990,1990Q4,-2.3361372409225165
1151,AEQUITRON MEDICAL INC,AQTN,1991,1991Q1,-2.0525619399884016
1151,AEQUITRON MEDICAL INC,AQTN,1991,1991Q2,-2.0806127021957312
1151,AEQUITRON MEDICAL INC,AQTN,1991,1991Q3,-2.5173589255185504
1151,AEQUITRON MEDICAL INC,AQTN,1991,1991Q4,-2.7165417240456424
1151,AEQUITRON MEDICAL INC,AQTN,1992,1992Q1,-2.8628246997531552
1151,AEQUITRON MEDICAL INC,AQTN,1992,1992Q2,-3.006751707784389
1151,AEQUITRON MEDICAL INC,AQTN,1992,1992Q3,-2.4171855735334424
1151,AEQUITRON MEDICAL INC,AQTN,1992,1992Q4,-2.5802403508873617
1151,AEQUITRON MEDICAL INC,AQTN,1993,1993Q1,-2.3702988074980804
1151,AEQUITRON MEDICAL INC,AQTN,1993,1993Q2,-2.7846181439826614
1151,AEQUITRON MEDICAL INC,AQTN,1993,1993Q3,-2.896450706163753
1151,AEQUITRON MEDICAL INC,AQTN,1993,1993Q4,-2.7165422899340137
1151,AEQUITRON MEDICAL INC,AQTN,1994,1994Q1,-2.775142810287273
1151,AEQUITRON MEDICAL INC,AQTN,1994,1994Q2,-3.273645872616186
1151,AEQUITRON MEDICAL INC,AQTN,1994,1994Q3,-2.3178626799473494
1151,AEQUITRON MEDICAL INC,AQTN,1994,1994Q4,-2.9839787083798246
1151,AEQUITRON MEDICAL INC,AQTN,1995,1995Q1,-2.710062325851616
1151,AEQUITRON MEDICAL INC,AQTN,1995,1995Q3,-1.7659815120857036
1151,AEQUITRON MEDICAL INC,AQTN,1995,1995Q4,-2.1832312013348005
1151,AEQUITRON MEDICAL INC,AQTN,1996,1996Q1,-2.1781486191783923
1151,AEQUITRON MEDICAL INC,AQTN,1996,1996Q2,-2.877380160985033
1151,AEQUITRON MEDICAL INC,AQTN,1996,1996Q3,-2.290387558261575
1155,AERO SYSTEMS INC,AESM,1989,1989Q2,-2.355345246001841
1155,AERO SYSTEMS INC,AESM,1989,1989Q3,-2.3968014844887753
1155,AERO SYSTEMS INC,AESM,1989,1989Q4,-2.1969592866346805
1155,AERO SYSTEMS INC,AESM,1990,1990Q1,-2.328303022481171
1155,AERO SYSTEMS INC,AESM,1990,1990Q2,-2.6663990443965964
1155,AERO SYSTEMS INC,AESM,1990,1990Q3,-2.5124115733383476
1155,AERO SYSTEMS INC,AESM,1990,1990Q4,-2.7032427520369957
1155,AERO SYSTEMS INC,AESM,1991,1991Q1,-1.6436930936286718
1155,AERO SYSTEMS INC,AESM,1991,1991Q2,0.5431196342385297
1155,AERO SYSTEMS INC,AESM,1991,1991Q3,-2.544472626597512
1155,AERO SYSTEMS INC,AESM,1991,1991Q4,-2.866807129059362
1155,AERO SYSTEMS INC,AESM,1992,1992Q1,-3.2018999208823224
1155,AERO SYSTEMS INC,AESM,1992,1992Q2,-3.0136619362629236
1155,AERO SYSTEMS INC,AESM,1992,1992Q3,-2.915129608945496
1164,ADVANTAGE COMPANIES INC,ADCO,1989,1989Q1,-2.1610155255782075
1164,ADVANTAGE COMPANIES INC,ADCO,1989,1989Q2,3.5837370679165432
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1989,1989Q3,4.107069876110435
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1989,1989Q4,-2.9865871225790612
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1990,1990Q2,-2.433279668539832
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1990,1990Q3,-3.042147224334028
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1990,1990Q4,-3.2221196610539375
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1991,1991Q1,-2.178059008202973
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1991,1991Q2,-2.575046002464882
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1991,1991Q3,-2.2768154149479387
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1991,1991Q4,-3.01587482782088
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1992,1992Q1,-2.3307510106129032
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1992,1992Q2,-2.5725341765856684
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1992,1992Q3,-2.558322457937966
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1992,1992Q4,2.590568746820509
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1993,1993Q1,0.06061133253643558
1164,LDDS COMMUNICATIONS  -CL A,LDDSA,1993,1993Q2,-2.478253169811564
1164,LDDS COMMUNICATION/TN  -CL A,LDDSA,1993,1993Q3,-2.0051191520138176
1164,LDDS COMMUNICATION/GA  -CL A,LDDS,1993,1993Q4,-2.6538344063228907
1164,LDDS COMMUNICATION/GA  -CL A,LDDS,1994,1994Q1,-2.3879224905976066
1164,LDDS COMMUNICATION/GA  -CL A,LDDS,1994,1994Q2,-2.423640322219264
1164,LDDS COMMUNICATION/GA  -CL A,LDDS,1994,1994Q3,-2.3925310997972518
1164,LDDS COMMUNICATION/GA  -CL A,LDDS,1994,1994Q4,-4.090987709804634
1164,LDDS COMMUNICATION/GA  -CL A,LDDS,1995,1995Q1,-3.5051109303362127
