Quarter,Avg. M-Score,Weighted_M,Count,average M trend,average WM trend,average M velocity,average M acceleration,average WM velocity,average WM acceleration,sp500 return,sp500 return trend,sp500 velocity,sp500 acceleration,indu return,indu return trend,indu velocity,indu acceleration,GDPC1,WPSID62,WPSID62 trend,WPSID62 velocity,WPSID62 acceleration,T10Y2Y,T10Y2Y trend,T10Y2Y velocity,T10Y2Y acceleration,average beta,average MCAP,WAB,average beta trend,average MCAP trend,WAB trend,average beta velocity,average beta acceleration,average MCAP velocity,average MCAP acceleration,WAB velocity,WAB acceleration
1977Q3,-2.892064025,-3.602708512,58,-2.908746081,-2.908746081,0.006075546,-0.015327598,0.006075546,-0.015327598,0.007094418,-0.0004707901777777,-3.147082499999998e-05,-9.916645833333331e-05,0.021129,-0.0007016222222222,-2.3077777777777767e-05,-0.0001069583333333,6313.697,63.7,63.86666666666666,0.0500000000000007,0.6750000000000007,0.59,0.6272916666666666,-0.0053333333333334,0.00040625,0.5829335494327391,156789.08420912683,0.0001883216708337,0.5885321119320032,154317.12999855948,0.0001881812677137,0.0060191546128632,0.0046039146075612,-1099.7402098070595,1090.7030812759112,4.579011579076265e-07,3.254374555206613e-07
1977Q4,-2.905239586,-3.580334425,58,-2.853262806,-2.853262806,0.033571102,0.005197271,0.033571102,0.005197271,0.001685275,-0.0005288141833333,-4.399326111111107e-05,-1.7265927777777813e-05,0.016896,-0.00069285,-6.877222222222211e-05,-8.612500000000053e-06,6333.848,66.4,66.36666666666667,0.9499999999999956,-0.1000000000000014,0.56,0.4612083333333333,-0.0009791666666666,-1.0416666666651642e-05,0.6187947882736157,158000.93030461116,0.0001909565663287,0.6192103128162544,155068.42990820634,0.0001903142395408,0.0068749109973839,-0.0045389792760083,-1426.625694119357,-1090.2360116648051,2.057119327991469e-07,-4.117815117361305e-07
1978Q1,-2.762484806,-3.393768271,58,-2.841603878,-2.841603878,0.016470087,-0.022012148,0.016470087,-0.022012148,-0.002236886,0.0011729215888888,0.0001514307972222,-4.4561527777785053e-07,0.0117029999999999,0.00139745,0.0001974722222222,-3.474861111111107e-05,6578.605,69.8,70.1,1.8499999999999943,0.125,0.45,0.3992083333333333,-0.00375,3.124999999999656e-05,0.6169923727066584,154680.31422023498,0.0001908473583907,0.6116315909172535,156117.1184763047,0.0001916601054757,-0.0102265193147461,-0.0007476648807563,6049.22116757484,2017.4250393553664,1.6851341254945734e-06,3.986991897946834e-07
1978Q2,-2.857087241,-3.376276089,58,-2.820322632,-2.820322632,-0.010453194,0.009112136,-0.010453194,0.009112136,-0.000418541,0.00088228907,9.935401666666676e-05,-5.849000000000018e-06,0.010869,0.00084795,0.0001032194444444,1.0944444444444229e-06,6644.754,74.6,73.86666666666666,0.7000000000000028,-0.8499999999999979,0.14,0.1736666666666666,-0.0052708333333333,-1.0416666666651642e-05,0.6012642251189737,169316.95930485,0.0001946683505737,0.5981091847458694,172566.1205797866,0.0001950326737008,0.0006851037765073,0.002822475277122,4570.248510081656,78.71014918828587,-1.5102482537128386e-07,-7.29447967115516e-07
1978Q3,-2.841395847,-3.284902105,58,-2.862510267,-2.862510267,0.034694358,0.049223147,0.034694358,0.049223147,0.005688505,-0.0003097292866666,1.9422886111111087e-05,-1.6426856944444423e-05,0.018483,-0.0003317166666666,-7.583333333333319e-06,5.611111111111398e-07,6734.069,75.1,75.26666666666665,1.6499999999999986,0.350000000000005,-0.14,-0.2428333333333333,-0.0084374999999999,6.249999999999312e-05,0.6220223787815997,184350.19126217364,0.0001922705461786,0.6687662748587118,176864.66413473434,0.0001912218593078,0.0670233367430705,0.0153199264287448,-5607.083099931697,-2764.8973027198444,-1.8052886341967577e-06,5.70232617571096e-07
1978Q4,-2.889047712,-3.366238962,58,-2.750933915,-2.750933915,0.087993099,0.016375869,0.087993099,0.016375869,-0.001765683,0.0001066867999999,0.0001029552666666,4.113958194444441e-05,0.016614,0.0001916,0.0001297583333333,3.922638888888891e-05,6746.176,78.0,78.5,1.3499999999999943,0.7749999999999986,-0.83,-0.6004583333333333,-0.0041458333333332,-7.291666666664476e-05,0.8054118377483444,167602.52562344784,0.0001929187154118,0.8044677080489357,169739.00411851128,0.0001919901309746,0.0007062180291889,-0.0190915726275024,3148.544121705665,1883.4006611285367,1.007194444124131e-06,-5.176995668106847e-07
1979Q1,-2.522358185,-3.235761377,60,-2.686524068,-2.686524068,0.067446096,-0.034955196,0.067446096,-0.034955196,-0.004312457,-5.856389444444459e-05,3.2317002777777746e-05,3.4448916666667207e-06,0.008676,-0.0001359722222222,1.0863888888888852e-05,1.8058333333333333e-05,6753.389,83.8,83.43333333333334,1.1500000000000057,-0.6999999999999993,-0.61,-0.5881666666666667,0.0056041666666666,-5.208333333328597e-05,0.779546965918537,180346.1430043225,0.0001916595287355,0.7820337291324878,178015.9437273424,0.0001913570683155,-0.0105438595083175,0.0006458564255731,2355.0668364029407,-147.75598017509037,1.3495116654149426e-07,5.483021518731785e-07
1979Q2,-2.648166308,-3.300921993,60,-2.616041722,-2.616041722,0.018082707,-0.032153516,0.018082707,-0.032153516,0.001070039,0.0006619462055555,-9.066192500000006e-05,-5.625368055555557e-06,0.0135579999999999,0.00038565,-4.866666666666661e-05,4.402777777777516e-07,6803.558,85.6,85.6,0.8999999999999986,-0.3249999999999957,-0.16,-0.4480833333333333,-0.0004166666666666,7.291666666667251e-05,0.7574286309647843,189359.90085173995,0.0001931521305076,0.7562912983732671,187137.8217366344,0.0001930698381624,-0.0109048547968468,-0.0032000626087212,5522.606332070354,1118.6995784223182,3.729304473629581e-07,-3.522305411386825e-07
1979Q3,-2.677600675,-3.188264891,60,-2.650358655,-2.650358655,0.003139064,0.025449881,0.003139064,0.025449881,-0.008075492,0.0003417563944444,-4.029181666666669e-05,8.232361388888892e-05,0.00409,-5.816666666666633e-05,-6.610555555555553e-05,9.448611111111104e-05,6820.572,87.9,87.39999999999999,1.6499999999999986,0.1749999999999971,-0.66,-0.7830416666666666,-0.0060208333333333,0.0001354166666666,0.7113801756587202,199278.97921894604,0.0001908342542656,0.7616952123012073,194875.3788789356,0.0001931380197398,0.0303297321573108,0.0090389044213566,-3113.770468110786,-556.3408626257951,8.04332273233885e-07,9.451911557728972e-07
1979Q4,-2.625308982,-3.065882435,62,-2.609763594,-2.609763594,0.068982468,0.058509023,0.068982468,0.058509023,0.0009273,0.0012662811611111,-0.0001322830777777,-9.636355833333331e-05,0.016331,0.0007832111111111,-0.0001324277777777,-6.104444444444442e-05,6842.024,91.2,90.7,0.4500000000000028,-0.2500000000000035,-0.9,-1.182625,-0.0126874999999999,0.0002187499999999,0.7962403343782655,202137.06374900104,0.0001982562259976,0.7915652094826912,201770.08335075487,0.0001968417028841,-0.0272807951908816,-0.0077888761534732,5683.3363992683735,-3705.8712793619634,-8.465616923139562e-07,-1.2323483607173456e-06
1980Q1,-2.526381124,-3.119041981,61,-2.512393718,-2.512393718,0.120157111,0.013907571,0.120157111,0.013907571,0.014004768,-0.0001442951333333,7.120759166666671e-05,3.114831388888895e-05,0.027429,-0.0001030777777777,9.339166666666666e-05,4.888055555555556e-05,6701.046,90.8,90.56666666666666,-2.1499999999999986,-0.2999999999999971,-1.99,-0.549375,0.0158958333333332,-0.0002291666666666,0.8012817840766987,180374.4516249312,0.0001969191034216,0.7650422423162877,189096.11420749748,0.0001942945063008,0.0049330348494664,-0.0050978836541307,-4292.463332919317,5669.089558863598,1.9676445189007773e-07,-1.4170992289626425e-08
1980Q2,-2.385491049,-3.031384407,62,-2.369449372,-2.369449372,0.09679761,-0.058364293,0.09679761,-0.058364293,-0.015172414,0.0019885134999999,5.147365277777781e-05,-4.905379444444428e-05,-0.000805,0.0020682111111111,5.533333333333432e-06,-4.14986111111111e-05,6693.082,90.1,91.4,2.549999999999997,1.775000000000002,1.12,0.49475,0.0139375,-0.0006041666666666,0.7236622943993337,205626.8438959442,0.0001927308640535,0.7278736756511677,207431.6421425183,0.0001925860127642,-0.0175841840640179,0.0063700099253698,8848.425648948614,-1197.2100763354392,-8.277682051445679e-07,5.381230993911344e-07
1980Q3,-2.196475943,-2.844534203,65,-2.318798498,-2.318798498,0.003428525,-0.078973131,0.003428525,-0.078973131,0.015541525,0.0013909055788888,-9.35358611111112e-05,-0.0001224934638888,0.026054,0.0007937333333333,-9.68972222222222e-05,-0.0001280930555555,6817.903,100.4,100.53333333333332,1.6000000000000014,-0.6750000000000043,-0.27,-0.1200833333333333,-0.0156458333333333,-0.0001354166666666,0.7091310629514963,227671.2541115748,0.0001942305770298,0.6948757281660156,224443.8516146936,0.0001916538888794,-0.0129983399414802,-0.0014555332922392,4509.25066580312,-217.47229578527916,-1.2562125686953285e-07,-1.8015719899713438e-07
